customer_id,company_name,company_size,industry,signup_date,region,ARR,plan_type,onboarding_completion_days,customer_health_score,acquisition_channel,account_manager
CUS-00032,"Ali, Wilson and Smith",1-50,Media,2023-07-24,LATAM,5260,Starter,8,74,Inbound,Andrew Conway
CUS-00033,Flores-Smith,5000+,Media,2022-11-15,APAC,18753,Starter,10,54,Referral,Amanda Adkins
CUS-00034,Adams-Morgan,501-1000,Real Estate,2023-03-17,APAC,377187,Enterprise,110,86,Outbound,Amanda White
CUS-00035,Malone-Evans,5000+,Finance,2023-11-21,EMEA,252865,Enterprise,78,74,Inbound,Robert Brown
CUS-00036,"Smith, Johnson and Lane",51-200,Finance,2022-07-29,North America,126991,Professional,32,61,Event,Christopher Hughes
CUS-00037,"Weeks, Gutierrez and Rowe",5000+,Professional Services,2022-07-09,APAC,42598,Growth,15,77,Referral,Brent Smith
CUS-00038,"Flores, Sharp and Duffy",1-50,Healthcare,2024-02-18,North America,6272,Starter,11,33,Outbound,Elizabeth Martinez
CUS-00039,Cobb-Garner,1-50,Media,2022-07-18,EMEA,82986,Professional,24,69,Paid Search,Lisa Bennett
CUS-00040,Owens-Merritt,1-50,Media,2024-01-06,North America,44165,Growth,18,53,Inbound,Lisa Bennett
CUS-00041,Freeman-Williams,201-500,Media,2023-12-06,LATAM,7513,Starter,13,64,Inbound,Patrick Smith
CUS-00042,Russell Ltd,1-50,Media,2025-05-21,North America,35873,Growth,13,47,Event,Robert Morris
CUS-00043,Harris and Sons,201-500,Retail,2023-06-26,North America,16466,Starter,1,45,Referral,Todd Shah
CUS-00044,Hughes PLC,51-200,Healthcare,2022-03-30,EMEA,162318,Enterprise,36,74,Outbound,Lisa Bennett
CUS-00045,"Stephens, Koch and Moore",51-200,Retail,2024-07-29,APAC,28841,Growth,15,84,Inbound,Mr. Sean Simmons
CUS-00046,"Morales, Flores and Stone",501-1000,Finance,2025-01-03,EMEA,109590,Professional,18,62,Paid Search,Dominique Alexander
CUS-00047,"Torres, Munoz and Wilson",51-200,Logistics,2022-09-13,North America,17357,Growth,12,55,Outbound,Jeffery Garza
CUS-00048,"Keith, Tran and Roberts",501-1000,Healthcare,2024-02-15,North America,27001,Growth,12,41,Inbound,Dawn Moore
CUS-00049,"May, Clark and Williams",201-500,Education,2022-06-11,APAC,46844,Growth,17,47,Partner,Dominique Alexander
CUS-00050,Sullivan Inc,1001-5000,Logistics,2025-02-04,LATAM,7815,Starter,4,58,Paid Search,Jeffery Garza
CUS-00051,Williams-Payne,51-200,Logistics,2023-08-24,APAC,223054,Enterprise,42,74,Inbound,Christopher Hughes
CUS-00052,"Kent, Lee and Sanders",5000+,Professional Services,2025-06-20,EMEA,148556,Professional,43,70,Event,James Smith
CUS-00053,Hoffman Ltd,201-500,Technology,2024-01-11,APAC,438124,Enterprise,44,98,Referral,Marcus Chase
CUS-00054,"May, Myers and Jones",5000+,Media,2025-03-28,North America,366071,Enterprise,70,48,Partner,Dawn Moore
CUS-00055,"Hughes, Mitchell and Walker",1-50,Finance,2023-01-29,EMEA,96615,Professional,28,98,Referral,Lisa Bennett
CUS-00056,Carter-Brennan,501-1000,Logistics,2022-05-23,EMEA,537444,Enterprise,54,91,Content,Brent Smith
CUS-00057,"Huerta, Golden and Bennett",501-1000,Manufacturing,2022-04-04,North America,11086,Starter,9,47,Outbound,Robert Brown
CUS-00058,Chandler PLC,1-50,Media,2023-04-12,APAC,12535,Starter,1,57,Inbound,Elizabeth Martinez
CUS-00059,Crane PLC,201-500,Finance,2023-08-16,EMEA,7847,Starter,8,41,Paid Search,Patrick Smith
CUS-00060,Johnson Inc,501-1000,Professional Services,2022-06-13,North America,16613,Growth,17,66,Referral,Kenneth Carlson
CUS-00061,Boyd and Sons,201-500,Education,2023-04-22,North America,40403,Growth,18,94,Partner,Marcus Chase
CUS-00062,King LLC,1-50,Media,2022-07-26,North America,47778,Growth,11,52,Referral,Elizabeth Martinez
CUS-00063,Moore-Smith,501-1000,Media,2024-02-18,EMEA,92441,Professional,28,66,Referral,Robert Young
CUS-00064,Arnold LLC,1-50,Media,2023-07-24,North America,44343,Growth,1,50,Event,Christopher Hughes
CUS-00065,Ellison Inc,501-1000,Professional Services,2024-07-17,North America,28902,Growth,10,53,Paid Search,Todd Shah
CUS-00066,"Hill, Lopez and Boyd",1-50,Technology,2024-01-18,EMEA,31485,Growth,14,55,Partner,Patrick Smith
CUS-00067,"Hunter, Allen and Torres",1-50,Technology,2022-11-30,EMEA,18466,Starter,11,35,Outbound,Lisa Bennett
CUS-00068,Smith-Pugh,51-200,Finance,2024-01-29,APAC,90300,Professional,48,66,Referral,Amanda Adkins
CUS-00069,"Brown, Holmes and Castillo",501-1000,Logistics,2023-12-29,EMEA,8845,Starter,6,52,Partner,Amber Robertson
CUS-00070,"Williams, Hernandez and Liu",5000+,Technology,2023-03-06,APAC,194890,Enterprise,74,67,Referral,Marcus Chase
CUS-00071,Cooley-Gallagher,1-50,Logistics,2023-07-01,LATAM,127319,Professional,26,35,Partner,Kenneth Carlson
CUS-00072,"Ramirez, Morales and Payne",1-50,Professional Services,2022-05-27,APAC,7800,Starter,2,49,Inbound,Andrew Adams
CUS-00073,"Wolfe, Long and Cohen",51-200,Finance,2025-06-01,EMEA,10529,Starter,8,51,Partner,Elizabeth Martinez
CUS-00074,"Branch, White and Carlson",1001-5000,Media,2022-12-17,North America,89560,Professional,48,98,Referral,Mr. Sean Simmons
CUS-00075,Myers Inc,201-500,Healthcare,2024-12-29,LATAM,85554,Professional,23,70,Event,Amanda Adkins
CUS-00076,"Daniel, Zamora and Young",51-200,Logistics,2023-05-17,North America,95963,Professional,17,84,Partner,Danny Smith
CUS-00077,Brown-Martin,201-500,Media,2022-12-01,North America,98580,Professional,28,63,Inbound,Robert Morris
CUS-00078,Coleman-Conley,51-200,Finance,2024-08-04,North America,15093,Starter,6,71,Partner,Lisa Nolan
CUS-00079,Ruiz-Bailey,201-500,Manufacturing,2024-02-17,North America,55330,Growth,28,47,Event,Amanda Adkins
CUS-00080,"Hays, Fisher and Farrell",51-200,Real Estate,2023-07-07,LATAM,12558,Starter,9,59,Partner,Robert Morris
CUS-00081,Richards-Young,501-1000,Media,2025-02-14,EMEA,585210,Enterprise,57,86,Referral,James Smith
CUS-00082,Villegas LLC,1001-5000,Professional Services,2023-03-26,EMEA,134844,Professional,1,80,Partner,Danny Smith
CUS-00083,"Jensen, Smith and Best",501-1000,Real Estate,2023-10-27,EMEA,38643,Growth,13,94,Outbound,Patrick Smith
CUS-00084,Dickerson-Wilson,201-500,Professional Services,2022-04-25,EMEA,16641,Starter,12,43,Event,Robert Young
CUS-00085,Grimes-Howell,201-500,Retail,2023-04-15,North America,20558,Growth,14,83,Inbound,Andrew Adams
CUS-00086,Jones-Leon,1-50,Real Estate,2022-03-07,EMEA,25577,Growth,18,79,Partner,Lisa Bennett
CUS-00087,Carey-Blair,501-1000,Logistics,2023-10-09,EMEA,75027,Professional,32,70,Inbound,Kristin Gutierrez
CUS-00088,Patton LLC,201-500,Manufacturing,2024-04-01,North America,89989,Professional,22,97,Inbound,Brent Smith
CUS-00089,Johnson-Freeman,1001-5000,Healthcare,2023-07-03,APAC,476749,Enterprise,92,71,Partner,Mark Perez
CUS-00090,"Wang, Randall and Evans",51-200,Technology,2022-05-16,North America,21998,Growth,15,62,Partner,Brent Smith
CUS-00091,Lambert-Harrison,501-1000,Finance,2023-03-09,North America,11924,Starter,5,51,Referral,Amber Robertson
CUS-00092,"Lambert, Crawford and Rivera",501-1000,Technology,2025-03-07,North America,81426,Professional,28,50,Referral,Patrick Smith
CUS-00093,"Newton, Clark and Suarez",51-200,Media,2023-10-07,North America,88562,Professional,43,81,Referral,Lisa Bennett
CUS-00094,Dean Ltd,501-1000,Logistics,2023-03-12,APAC,107266,Professional,11,79,Partner,Kristin Gutierrez
CUS-00095,Holder Ltd,1001-5000,Education,2024-10-19,APAC,180117,Professional,31,68,Referral,Robert Brown
CUS-00096,Carney-Boyer,1001-5000,Media,2024-03-21,North America,25328,Growth,14,88,Referral,Robert Brown
CUS-00097,"Garcia, Holland and Robinson",501-1000,Finance,2024-07-28,EMEA,31602,Growth,5,55,Partner,Mr. Sean Simmons
CUS-00098,Aguirre Group,1-50,Healthcare,2022-10-20,EMEA,22284,Growth,18,36,Referral,Mark Perez
CUS-00099,Nelson-Mullins,1001-5000,Healthcare,2023-06-27,North America,7767,Starter,7,80,Content,Amanda White
CUS-00100,"Johnson, Perkins and Drake",501-1000,Technology,2022-10-13,North America,6835,Starter,9,67,Inbound,Lisa Bennett
CUS-00101,Phillips Group,51-200,Healthcare,2023-05-21,LATAM,10895,Starter,10,61,Paid Search,Amanda Adkins
CUS-00102,"Byrd, Smith and Lopez",51-200,Technology,2025-02-23,EMEA,116051,Professional,27,64,Inbound,Robert Young
CUS-00103,"Dudley, Morgan and Lee",1-50,Healthcare,2025-01-08,LATAM,41335,Growth,10,67,Outbound,Amber Robertson
CUS-00104,House PLC,1-50,Healthcare,2023-06-23,North America,24965,Growth,6,43,Outbound,Todd Shah
CUS-00105,Potts-Larson,501-1000,Manufacturing,2025-04-12,EMEA,447961,Enterprise,40,70,Referral,Amanda Adkins
CUS-00106,"Maxwell, Franklin and Hunt",51-200,Healthcare,2024-05-27,North America,10404,Starter,7,38,Inbound,Dominique Alexander
CUS-00107,Mitchell-Simmons,1-50,Media,2025-04-10,North America,31850,Growth,8,65,Paid Search,Mark Perez
CUS-00108,Ramirez-Jones,201-500,Healthcare,2024-03-28,EMEA,64759,Professional,34,83,Event,Dawn Moore
CUS-00109,Hammond-Thompson,201-500,Technology,2024-01-12,North America,10551,Starter,4,36,Referral,Kenneth Carlson
CUS-00110,Cole LLC,51-200,Logistics,2023-03-26,North America,10669,Starter,2,62,Partner,Amanda White
CUS-00111,Bell-Thomas,1-50,Technology,2022-10-11,North America,33678,Growth,10,64,Content,Andrew Conway
CUS-00112,Jordan Ltd,51-200,Education,2024-11-09,North America,11503,Starter,7,62,Paid Search,Robert Brown
CUS-00113,"Silva, Gillespie and Powell",501-1000,Education,2024-10-07,EMEA,478203,Enterprise,27,70,Partner,Marcus Chase
CUS-00114,"Harrell, Dixon and Gould",1-50,Real Estate,2022-07-06,EMEA,68092,Professional,18,80,Referral,Andrew Conway
CUS-00115,Barnett-Charles,201-500,Education,2022-04-07,North America,92696,Professional,20,59,Referral,Lisa Bennett
CUS-00116,Reed LLC,1-50,Media,2022-08-13,North America,449189,Enterprise,44,48,Referral,Patrick Smith
CUS-00117,"Williamson, Jackson and Kirby",51-200,Professional Services,2022-11-10,North America,91034,Professional,31,48,Outbound,Lisa Bennett
CUS-00118,Jackson Inc,201-500,Real Estate,2022-11-24,EMEA,13991,Starter,8,44,Partner,Amber Robertson
CUS-00119,Johnson Inc,1-50,Media,2024-05-14,North America,387025,Enterprise,44,49,Inbound,Lisa Bennett
CUS-00120,"Huynh, Gutierrez and Conway",51-200,Retail,2025-05-06,APAC,16396,Growth,8,85,Outbound,Danny Smith
CUS-00121,Young Ltd,51-200,Retail,2022-05-11,North America,134152,Professional,29,68,Referral,Kristin Gutierrez
CUS-00122,Washington PLC,51-200,Healthcare,2024-02-28,North America,359941,Enterprise,66,87,Content,Jeffery Garza
CUS-00123,Gonzales-Kelly,501-1000,Real Estate,2024-02-21,APAC,17494,Growth,23,73,Content,Marcus Chase
CUS-00124,"Stark, Gibson and Ray",1-50,Professional Services,2025-05-05,EMEA,9155,Starter,10,52,Referral,Patrick Smith
CUS-00125,Coleman-Johns,1001-5000,Real Estate,2024-08-16,North America,6415,Starter,3,98,Referral,Robert Young
CUS-00126,"Brooks, Nelson and Simpson",501-1000,Real Estate,2024-12-19,APAC,42302,Growth,13,98,Inbound,Amanda Adkins
CUS-00127,Hernandez-Roth,501-1000,Education,2023-05-30,EMEA,98753,Professional,33,90,Referral,Dawn Moore
CUS-00128,"Berger, Newton and Jones",51-200,Healthcare,2025-02-07,APAC,271406,Enterprise,36,60,Inbound,Robert Brown
CUS-00129,Walker-Graves,1001-5000,Manufacturing,2022-01-24,EMEA,13282,Starter,6,73,Outbound,Lisa Nolan
CUS-00130,Williams Ltd,51-200,Finance,2022-08-23,EMEA,38158,Growth,17,35,Referral,Amanda White
CUS-00131,Mckee-Russo,1-50,Technology,2025-01-04,LATAM,29926,Growth,15,82,Outbound,Elizabeth Martinez
CUS-00132,Baker Group,1-50,Healthcare,2023-07-01,North America,6466,Starter,7,13,Inbound,Robert Young
CUS-00133,"Chen, Patterson and Burgess",1001-5000,Retail,2023-11-28,EMEA,7446,Starter,5,47,Paid Search,Jeffery Garza
CUS-00134,Gutierrez Inc,51-200,Retail,2022-08-17,EMEA,24074,Growth,5,80,Outbound,Dawn Moore
CUS-00135,Silva-Wheeler,1001-5000,Finance,2023-08-25,North America,486969,Enterprise,48,79,Inbound,Kenneth Carlson
CUS-00136,"Parks, Walker and Wright",51-200,Healthcare,2024-06-09,North America,18046,Growth,13,39,Inbound,Amanda Adkins
CUS-00137,Martin LLC,1001-5000,Real Estate,2022-11-20,North America,31967,Growth,5,64,Outbound,Marcus Chase
CUS-00138,"Smith, Sims and Walker",1001-5000,Logistics,2024-07-18,EMEA,91613,Professional,28,75,Inbound,Marcus Chase
CUS-00139,Miller LLC,1001-5000,Finance,2022-01-07,EMEA,46697,Growth,16,65,Event,Marcus Chase
CUS-00140,Lawson Inc,201-500,Professional Services,2023-06-24,EMEA,406825,Enterprise,39,67,Outbound,Kenneth Carlson
CUS-00141,Shepherd-Jensen,1001-5000,Technology,2024-10-22,North America,452257,Enterprise,63,86,Event,Jeffery Garza
CUS-00142,"Wilson, Smith and Burnett",5000+,Retail,2023-01-01,EMEA,27041,Growth,15,79,Inbound,Jeffery Garza
CUS-00143,Valenzuela-Buck,51-200,Logistics,2024-11-05,LATAM,21124,Growth,12,59,Partner,Kristin Gutierrez
CUS-00144,Small-Baker,201-500,Technology,2022-08-06,North America,29001,Growth,11,84,Referral,Todd Shah
CUS-00145,Williams-Herrera,501-1000,Healthcare,2023-09-04,EMEA,42659,Growth,12,59,Referral,Robert Brown
CUS-00146,"Dennis, Swanson and Hunt",51-200,Education,2024-11-05,APAC,13116,Starter,4,44,Referral,Robert Brown
CUS-00147,Randall-Warren,501-1000,Real Estate,2025-06-01,APAC,86010,Professional,31,90,Paid Search,Andrew Conway
CUS-00148,Anderson Group,1-50,Education,2023-02-12,EMEA,24046,Growth,9,81,Outbound,Amber Robertson
CUS-00149,"Butler, Martin and Brown",201-500,Education,2022-11-10,APAC,6908,Starter,4,42,Partner,Andrew Adams
CUS-00150,Duncan-Gordon,1-50,Professional Services,2024-02-05,North America,30982,Growth,16,50,Paid Search,Robert Young
CUS-00151,Williams-Lopez,51-200,Education,2022-11-27,APAC,393358,Enterprise,49,98,Inbound,Amber Robertson
CUS-00152,"Smith, Kramer and Williams",51-200,Education,2025-01-09,North America,16747,Starter,7,50,Inbound,Robert Young
CUS-00153,James Ltd,1001-5000,Logistics,2024-12-22,North America,10441,Starter,2,52,Outbound,Dawn Moore
CUS-00154,Carter-Marshall,51-200,Logistics,2022-01-02,North America,40288,Growth,11,58,Referral,Marcus Chase
CUS-00155,"Andrews, Hartman and Gallagher",501-1000,Media,2025-05-11,APAC,285363,Enterprise,91,93,Outbound,Lisa Nolan
CUS-00156,Miller-Smith,501-1000,Media,2023-10-26,North America,10147,Starter,2,84,Inbound,Mr. Sean Simmons
CUS-00157,"Burgess, Dillon and Ryan",201-500,Media,2024-09-27,North America,105025,Professional,47,71,Partner,Marcus Chase
CUS-00158,Murray Inc,51-200,Real Estate,2022-02-09,North America,95200,Professional,30,98,Referral,Amber Robertson
CUS-00159,Ruiz and Sons,51-200,Logistics,2022-08-18,APAC,9924,Starter,5,43,Outbound,Lisa Nolan
CUS-00160,"Carter, Thompson and Garcia",201-500,Professional Services,2024-01-14,APAC,104517,Professional,25,65,Outbound,Christopher Hughes
CUS-00161,Williams and Sons,1-50,Retail,2023-09-22,EMEA,38459,Growth,20,72,Referral,Danny Smith
CUS-00162,Peters PLC,201-500,Logistics,2023-05-06,EMEA,150560,Professional,2,57,Content,Dawn Moore
CUS-00163,Baker Group,5000+,Finance,2022-04-29,EMEA,45251,Professional,43,79,Referral,Kenneth Carlson
CUS-00164,Mccarty PLC,51-200,Real Estate,2023-05-09,North America,47993,Growth,15,54,Event,Lisa Nolan
CUS-00165,"Barrett, Anderson and Coleman",201-500,Finance,2025-03-07,LATAM,5495,Starter,9,28,Outbound,Marcus Chase
CUS-00166,Vasquez-Brown,5000+,Education,2022-06-11,North America,417796,Enterprise,16,47,Outbound,Dominique Alexander
CUS-00167,Washington-Chavez,1001-5000,Logistics,2022-06-25,North America,74122,Growth,12,57,Partner,Andrew Adams
CUS-00168,"Leon, Smith and Tucker",1001-5000,Media,2024-09-22,North America,9852,Starter,1,58,Event,James Smith
CUS-00169,"Novak, Combs and Jackson",1001-5000,Retail,2022-05-22,EMEA,10650,Starter,10,31,Partner,Lisa Nolan
CUS-00170,"Charles, Lawson and Chavez",51-200,Real Estate,2024-12-26,EMEA,89710,Professional,16,72,Paid Search,Kristin Gutierrez
CUS-00171,Martinez PLC,1001-5000,Education,2022-09-15,EMEA,126307,Professional,16,72,Content,Mr. Sean Simmons
CUS-00172,Osborn and Sons,5000+,Media,2022-09-20,North America,11352,Starter,1,49,Inbound,Kenneth Carlson
CUS-00173,Meyer-Walker,201-500,Healthcare,2024-08-31,EMEA,25652,Growth,16,48,Inbound,Todd Shah
CUS-00174,"Smith, Barnes and Dunn",51-200,Technology,2025-01-30,North America,9608,Starter,7,55,Inbound,Dawn Moore
CUS-00175,"Ruiz, Grimes and Dickerson",201-500,Real Estate,2022-12-05,North America,67607,Professional,19,67,Outbound,Amanda White
CUS-00176,"Williams, Jackson and Young",51-200,Logistics,2023-06-27,North America,9592,Starter,7,66,Inbound,Christopher Hughes
CUS-00177,"Estes, Gonzalez and Perry",51-200,Manufacturing,2024-12-16,APAC,86348,Professional,19,50,Paid Search,Lisa Bennett
CUS-00178,"Thomas, Mullen and Wright",201-500,Retail,2025-05-27,North America,34091,Growth,4,63,Inbound,Danny Smith
CUS-00179,"Gallegos, Duarte and Reeves",201-500,Finance,2024-05-16,EMEA,292498,Enterprise,46,54,Outbound,Robert Morris
CUS-00180,Aguirre and Sons,201-500,Technology,2023-03-10,EMEA,9277,Starter,11,48,Inbound,Lisa Bennett
CUS-00181,Wilson LLC,1-50,Retail,2025-01-09,EMEA,32600,Growth,19,45,Content,Elizabeth Martinez
CUS-00182,Powell-Nguyen,501-1000,Real Estate,2023-02-16,EMEA,10278,Starter,8,38,Referral,Lisa Nolan
CUS-00183,"Mason, Robinson and Duncan",51-200,Logistics,2023-10-01,North America,412784,Enterprise,60,73,Paid Search,Robert Brown
CUS-00184,Forbes-Schultz,1-50,Technology,2024-03-28,North America,352823,Enterprise,47,65,Content,Amber Robertson
CUS-00185,Johnson LLC,501-1000,Retail,2024-02-04,EMEA,24678,Growth,18,84,Partner,Kenneth Carlson
CUS-00186,"Vang, Brown and Gordon",201-500,Manufacturing,2024-06-16,EMEA,102914,Professional,34,87,Outbound,Dominique Alexander
CUS-00187,"Reyes, Williamson and Hansen",1-50,Finance,2024-11-25,APAC,93932,Professional,27,82,Inbound,Kristin Gutierrez
CUS-00188,Gallagher-Lawson,51-200,Finance,2024-07-13,APAC,143136,Professional,30,81,Outbound,Brent Smith
CUS-00189,Day-Thornton,501-1000,Healthcare,2022-09-05,North America,48618,Growth,5,63,Referral,Dawn Moore
CUS-00190,"Long, Martin and Pratt",201-500,Technology,2023-05-23,North America,6186,Starter,5,71,Inbound,Danny Smith
CUS-00191,Garrison-Brown,51-200,Real Estate,2023-04-06,EMEA,12411,Starter,3,47,Inbound,Andrew Adams
CUS-00192,Burnett Group,51-200,Technology,2022-05-12,North America,499265,Enterprise,28,98,Referral,Robert Brown
CUS-00193,"Hernandez, Willis and King",501-1000,Retail,2023-11-24,North America,234132,Enterprise,65,59,Referral,Patrick Smith
CUS-00194,"Combs, Whitney and Rivers",1001-5000,Education,2022-02-13,APAC,122485,Professional,13,53,Referral,Lisa Bennett
CUS-00195,"King, Daniel and Montes",501-1000,Healthcare,2025-04-19,North America,44470,Growth,18,41,Outbound,Brent Smith
CUS-00196,"Baker, Johnson and Keith",501-1000,Logistics,2025-02-08,LATAM,23310,Growth,19,43,Event,Danny Smith
CUS-00197,Owens-Johnston,201-500,Healthcare,2023-04-17,EMEA,92061,Professional,27,45,Partner,Elizabeth Martinez
CUS-00198,Moore-Waters,501-1000,Manufacturing,2025-04-20,APAC,400269,Enterprise,41,77,Inbound,Andrew Adams
CUS-00199,Frederick-King,1001-5000,Finance,2023-03-28,North America,457870,Enterprise,77,86,Event,Danny Smith
CUS-00200,"Gutierrez, White and Fisher",501-1000,Manufacturing,2022-01-15,North America,70755,Professional,34,70,Content,Marcus Chase
CUS-00201,Dean-Whitaker,1001-5000,Finance,2022-05-26,EMEA,149923,Professional,41,49,Inbound,Lisa Bennett
CUS-00202,Ferguson Group,201-500,Real Estate,2022-05-01,North America,4915,Starter,3,44,Outbound,Amanda Adkins
CUS-00203,Barnes Inc,1001-5000,Logistics,2023-04-14,North America,15893,Starter,6,64,Partner,James Smith
CUS-00204,"Schneider, Brandt and Williams",501-1000,Manufacturing,2022-05-19,North America,454646,Enterprise,50,68,Inbound,Elizabeth Martinez
CUS-00205,"Williams, Hudson and Smith",1001-5000,Professional Services,2022-03-06,North America,80443,Professional,30,58,Paid Search,Dawn Moore
CUS-00206,Williams-Dougherty,1-50,Retail,2023-11-08,North America,13533,Starter,8,29,Outbound,Andrew Adams
CUS-00207,"Brewer, Hall and Anderson",501-1000,Media,2022-05-26,APAC,6930,Starter,7,45,Event,Robert Morris
CUS-00208,Anderson LLC,1001-5000,Education,2024-11-18,North America,104105,Professional,42,59,Referral,Amanda Adkins
CUS-00209,"Beck, Moore and Johnson",51-200,Media,2023-05-03,North America,10871,Starter,5,50,Referral,Amber Robertson
CUS-00210,Taylor-Page,501-1000,Manufacturing,2023-07-25,EMEA,10862,Starter,4,59,Inbound,Andrew Conway
CUS-00211,Bowman Group,1001-5000,Manufacturing,2024-09-21,LATAM,24224,Growth,10,57,Outbound,Amanda Adkins
CUS-00212,Gamble-Dennis,51-200,Technology,2023-03-15,North America,84061,Professional,19,72,Inbound,Lisa Nolan
CUS-00213,"Travis, Richard and Howard",201-500,Finance,2025-01-09,North America,104536,Professional,22,77,Outbound,Patrick Smith
CUS-00214,Banks-Davis,201-500,Finance,2022-09-28,EMEA,7754,Starter,6,33,Outbound,Jeffery Garza
CUS-00215,Wilkinson Ltd,201-500,Retail,2025-03-15,APAC,109967,Professional,25,98,Paid Search,Mr. Sean Simmons
CUS-00216,Daniels-Saunders,1-50,Manufacturing,2025-03-26,APAC,8066,Starter,7,40,Outbound,Patrick Smith
CUS-00217,Collins-Davis,1-50,Media,2024-08-26,EMEA,46120,Growth,11,69,Event,Andrew Adams
CUS-00218,Rivas Ltd,1-50,Retail,2023-05-13,North America,172796,Professional,39,52,Partner,Amanda Adkins
CUS-00219,"Summers, Medina and Myers",51-200,Healthcare,2024-08-26,EMEA,90112,Professional,6,71,Event,Kenneth Carlson
CUS-00220,"Mccarthy, Gonzalez and Morrison",51-200,Retail,2024-04-13,North America,517504,Enterprise,6,76,Content,James Smith
CUS-00221,Trujillo-Mullins,501-1000,Manufacturing,2023-01-25,EMEA,92839,Professional,39,94,Outbound,Dawn Moore
CUS-00222,"Fisher, Hayden and Walker",201-500,Healthcare,2022-07-13,EMEA,72054,Professional,38,66,Paid Search,Danny Smith
CUS-00223,"Tran, Long and Johnson",501-1000,Professional Services,2022-07-18,LATAM,8616,Starter,10,71,Referral,Amanda Adkins
